scenario,total_eventos,exitos,recuperadas,reintentos,dlq,latencia_p50,latencia_p95,inicio,fin,duracion_seg,throughput,retry_rate,dlq_rate,recovery_rate
dlq_forzada,200,0,0,150,50,32.4898525,64.70457735,2026-06-03 22:36:25.429659,2026-06-03 22:37:31.576596,66.146937,0.0,0.75,0.25,0.0
falla_temporal,4234,4010,90,134,0,0.0125755,50.7970790499998,2026-06-03 22:18:51.830757,2026-06-03 22:32:48.849756,837.018999,4.898335646978546,0.03164855928200284,0.0,1.0
kafka_1_consumer,1000,1000,0,0,0,0.0097795,0.024159799999999964,2026-06-03 22:06:48.671564,2026-06-03 22:07:08.982334,20.31077,49.23496253465525,0.0,0.0,0.0
kafka_2_consumers,1000,1000,0,0,0,0.0204865,0.13847839999999992,2026-06-03 22:11:01.172404,2026-06-03 22:11:11.478842,10.306438,97.02673222310172,0.0,0.0,0.0
kafka_4_consumers,1000,1000,0,0,0,0.010111499999999999,0.021204849999999997,2026-06-03 22:13:57.299156,2026-06-03 22:14:07.583747,10.284591,97.23284085871767,0.0,0.0,0.0
spike_alto,1500,1500,0,0,0,2.1937225,8.962481649999999,2026-06-03 22:44:41.668455,2026-06-03 22:44:56.215039,14.546584,103.11699296549624,0.0,0.0,0.0
spike_normal,500,500,0,0,0,0.0096895,0.01908929999999993,2026-06-03 22:44:27.265934,2026-06-03 22:44:37.352212,10.086278,49.572300109118544,0.0,0.0,0.0
spike_recuperacion,500,500,0,0,0,0.009769,2.110965349999997,2026-06-03 22:44:53.864777,2026-06-03 22:45:03.971459,10.106682,49.47222045771303,0.0,0.0,0.0
